"","n","err","class"
"333942",333942,0.00163468368365533,3
"334012",334012,0.00157682938268417,3
"334574",334574,0.0017429891520748,3
"336497",336497,0.00137965617390625,3
"336687",336687,0.00114831090834078,3
"337287",337287,0.00142638249204293,3
"338173",338173,0.00117013131620825,3
"338258",338258,0.00124530313838551,3
"338490",338490,0.00128560911914585,3
"339062",339062,0.00147950742795375,3
"340443",340443,0.00139558004438501,3
"341127",341127,0.00133484248331968,3
"341683",341683,0.00119030782211703,3
"342202",342202,0.000996164369481991,3
"343191",343191,0.000466948211134781,3
"344995",344995,0.000177145257005087,3
"346268",346268,0.00033187104032849,3
"347166",347166,0.000262363704697439,3
"347308",347308,0.000442795251157019,3
"347957",347957,0.000455500985632678,3
"348383",348383,0.000368946141933016,3
"348728",348728,0.000334633731998847,3
"348812",348812,0.000376451800334772,3
"349044",349044,0.000330922327351211,3
"350405",350405,0.000649454237165401,3
"350534",350534,0.000706174159572945,3
"350571",350571,0.000811641729783029,3
"352166",352166,0.000608497503203188,3
"352927",352927,0.000685101882723202,3
"353081",353081,0.000727936249006916,3
"353612",353612,0.000518584195425056,3
"353879",353879,0.000404375714156848,3
"356658",356658,0.000105580824384805,3
"356742",356742,0.00011873796986989,3
"356955",356955,0.000271081708380703,3
"358468",358468,0.000259997326418482,3
"359315",359315,0.000878709492171441,3
"361081",361081,0.000769126834734047,3
"361789",361789,0.000916316780995437,3
"362149",362149,0.00103361774467144,3
"362311",362311,0.00117934501986653,3
"362565",362565,0.000922216540268043,3
"363450",363450,0.00130953386234993,3
"363836",363836,0.00138829492023474,3
"363887",363887,0.00136481545640931,3
"364046",364046,0.00133810445452532,3
"364721",364721,0.00141982501040825,3
"364975",364975,0.00100127596530845,3
"365251",365251,0.000833472433942311,3
"365800",365800,0.00119495669678846,3
"366528",366528,0.00101531373189473,3
"366844",366844,0.000632914042021043,3
"367242",367242,0.000609356818252028,3
"367705",367705,0.000546864170054056,3
"367895",367895,0.00047028845568801,3
"368586",368586,0.000246528298546682,3
"368623",368623,0.000266207874012334,3
"368660",368660,0.000178335318255175,3
"369002",369002,0.000245406255693559,3
"369269",369269,1.94164008043317e-06,3
"369339",369339,2.32318745794151e-05,3
"369500",369500,3.69392943071913e-05,3
"369662",369662,0.000153391292646561,3
"370416",370416,0.000476014895396751,3
"370474",370474,0.000552230383744049,3
"371895",371895,0.00058634213608922,3
"372001",372001,0.000551373709954367,3
"374182",374182,0.000337095221622263,3
"375605",375605,0.000588126086039594,3
"375934",375934,0.000539926862099051,3
"376933",376933,0.000638032724862988,3
"378260",378260,0.000475309720294279,3
"378464",378464,0.000411691887344954,3
"378496",378496,0.000417637238295935,3
"379205",379205,0.000509080611302513,3
"379384",379384,0.000405863175475535,3
"380806",380806,0.000754701453502634,3
"381592",381592,0.00073487021096161,3
"382168",382168,0.000866307891122148,3
"382347",382347,0.000893345904113588,3
"382524",382524,0.000837397298887879,3
"382912",382912,0.000788497780631444,3
"385170",385170,0.000907416323772742,3
"385715",385715,0.000751504818854726,3
"385928",385928,0.000712274270999139,3
"385973",385973,0.000803098679845844,3
"387190",387190,0.000769297559612002,3
"387961",387961,0.000455634182107732,3
"389625",389625,0.000654012952459736,3
"390145",390145,0.000639440098412855,3
"390390",390390,0.00055568372739777,3
"390598",390598,0.000580366024143661,3
"390677",390677,0.000579487360357484,3
"390889",390889,0.000690439883824004,3
"391246",391246,0.000563548390438277,3
"391677",391677,0.000575122856789468,3
"391777",391777,0.000577217688017891,3
"391955",391955,0.000651753243684406,3
"391969",391969,0.000636870738309131,3
"392194",392194,0.000603633181476211,3
"393005",393005,0.000623032495038543,3
"393122",393122,0.000542254603360699,3
"397763",397763,0.000964845624588275,3
"398448",398448,0.000741953776191194,3
"401957",401957,0.000932976350500786,3
"402163",402163,0.000951785253436804,3
"402722",402722,0.00120632252567575,3
"403640",403640,0.000825729326051519,3
"404143",404143,0.000769410693147113,3
"404155",404155,0.000774553742149883,3
"404927",404927,0.000696800513167193,3
"406131",406131,0.000828158110465232,3
"407045",407045,0.000880110681570604,3
"407092",407092,0.00089806711989389,3
"407263",407263,0.000830795770623689,3
"408015",408015,0.000777428491536547,3
"408430",408430,0.000700620599328072,3
"409002",409002,0.000765239964040928,3
"409834",409834,0.000737980589949342,3
"410931",410931,0.000655733525753642,3
"412445",412445,0.000238555337387351,3
"412850",412850,0.000427005156260636,3
"414531",414531,0.000152424890532332,3
"414643",414643,0.000159536958721319,3
"415309",415309,7.48522923418017e-05,3
"416020",416020,0.000128811139438908,3
"416477",416477,8.80274300766991e-05,3
"416613",416613,0.000152725529145435,3
"417685",417685,8.46946180736683e-05,3
"419370",419370,0.000320545521204455,3
"419995",419995,0.000203333526090489,3
"420821",420821,0.000493403178660862,3
"421107",421107,0.000725001092617655,3
"422627",422627,0.000425627019036275,3
"423047",423047,0.000574506044249735,3
"423960",423960,0.000599195327904123,3
"424229",424229,0.000555317260865538,3
"424685",424685,0.000508134587666114,3
"425335",425335,0.000940258305966353,3
"425906",425906,0.00106946487080106,3
"425936",425936,0.00107000810205598,3
"426420",426420,0.00115779502923554,3
"427419",427419,0.000755862374692453,3
"428291",428291,0.000799976239415026,3
"428901",428901,0.000603333068503407,3
"429081",429081,0.000514360314648802,3
"429640",429640,0.000522810409777755,3
"430009",430009,0.000550643946485657,3
"430902",430902,0.000275560768756436,3
"431847",431847,0.000282699119565936,3
"432885",432885,0.000161112478984905,3
"433092",433092,0.0001125928881601,3
"433435",433435,1.08990851260347e-05,3
"433563",433563,3.57376860798396e-05,3
"434112",434112,1.87970436276432e-05,3
"434389",434389,4.0358327326138e-05,3
"435345",435345,0.000141521846037918,3
"435560",435560,4.33790922283563e-05,3
"435613",435613,7.40232385233454e-05,3
"435647",435647,0.000106556750761145,3
"435722",435722,2.84290664153973e-05,3
"435863",435863,0.000193879968640849,3
"436656",436656,0.000375070485116674,3
"436705",436705,0.000399010422049714,3
"437568",437568,0.000396759683607165,3
"437657",437657,0.00032921308204529,3
"437719",437719,0.000346038569408358,3
"437800",437800,0.000410008258759719,3
"438854",438854,0.000288550643240478,3
"441473",441473,0.000259437031978994,3
"441685",441685,0.000205725412357638,3
"441786",441786,0.00017899035206032,3
"442110",442110,0.000208295417755523,3
"442142",442142,0.000158323943995088,3
"442144",442144,0.000153799814643842,3
"442266",442266,0.000191676861151743,3
"442364",442364,0.000194170275371197,3
"442600",442600,0.000153551418749725,3
"442987",442987,6.29546499315425e-05,3
"443485",443485,9.55959659527426e-06,3
"444245",444245,2.00572978002142e-05,3
"445264",445264,4.66619283636017e-05,3
"446277",446277,0.00046867988507095,3
"446301",446301,0.000478010797344829,3
"446915",446915,0.000675724147676664,3
"448642",448642,0.000346801227209906,3
"448926",448926,0.000427208813094944,3
"449431",449431,0.000469679253608892,3
"449696",449696,0.000573766496442794,3
"449853",449853,0.00050391820093682,3
"449951",449951,0.000479285867403001,3
"450664",450664,0.000652982614086772,3
"450814",450814,0.000721649326708233,3
"451784",451784,0.000892536234990968,3
"453818",453818,0.000718216674216843,3
"453874",453874,0.000710476004458556,3
"455190",455190,0.000703325860584607,3
"455705",455705,0.000614575053524901,3
"456178",456178,0.000520918727912697,3
"457361",457361,0.000397081081923761,3
"458126",458126,0.000443537461437483,3
"458638",458638,0.000154597888590688,3
"459812",459812,0.000487047145180694,3
"460358",460358,0.000402147054902603,3
"460790",460790,0.000371283229475789,3
"461257",461257,0.000760162847071508,3
"461482",461482,0.000839250610886962,3
"461545",461545,0.000825301549576389,3
"461675",461675,0.000849012111279688,3
"462570",462570,0.00123936019008985,3
"462798",462798,0.00128162849231746,3
"463420",463420,0.00148847624958064,3
"463723",463723,0.00154240500627363,3
"463873",463873,0.00154474609471552,3
"463908",463908,0.00151324209688967,3
"464106",464106,0.00166157472507935,3
"464401",464401,0.00171945794820271,3
"465693",465693,0.00138146802229989,3
"466472",466472,0.00134920368113757,3
"466779",466779,0.0010716632561853,3
"466943",466943,0.000891812170882765,3
"466986",466986,0.000877680615689563,3
"468199",468199,0.000777485515864751,3
"469202",469202,0.000505176102004092,3
"469769",469769,0.000445535893793678,3
"469923",469923,0.000456705204387384,3
"470577",470577,0.000582020782231925,3
"470890",470890,0.000551686628031696,3
"471298",471298,0.000575637053824025,3
"473424",473424,0.00058317803567564,3
"473899",473899,0.000748267783390715,3
"474084",474084,0.000720040735904924,3
"474099",474099,0.000730749514634575,3
"474337",474337,0.00058433158909432,3
"474500",474500,0.000572524900404594,3
"474738",474738,0.00044718923318015,3
"475747",475747,0.000775307895600116,3
"476383",476383,0.0006736388921708,3
